<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETH.V,D,20150807,000000,3,3,3,3,0,0
ETH.V,D,20150808,000000,3,3,1.2,1.2,0,0
ETH.V,D,20150809,000000,1.2,1.2,1.2,1.2,0,0
ETH.V,D,20150810,000000,1.2,1.2,1.2,1.2,0,0
ETH.V,D,20150811,000000,1.2,1.2,0.6504,0.99,0,0
ETH.V,D,20150812,000000,0.99,1.29,0.905,1.29,0,0
ETH.V,D,20150813,000000,1.29,1.88,1.26,1.88,0,0
ETH.V,D,20150814,000000,1.88,2.1,1.79,1.79,0,0
ETH.V,D,20150815,000000,1.79,1.79,1.5,1.79,0,0
ETH.V,D,20150816,000000,1.79,1.79,0.5,1.37,0,0
ETH.V,D,20150817,000000,1.37,1.59,1.25,1.3,0,0
ETH.V,D,20150818,000000,1.3,1.36,1.15,1.36,0,0
ETH.V,D,20150819,000000,1.36,1.36,0.99,1.24,0,0
ETH.V,D,20150820,000000,1.24,1.52,1.24,1.52,0,0
ETH.V,D,20150821,000000,1.52,1.53,1.44,1.44,0,0
ETH.V,D,20150822,000000,1.44,1.44,1.4,1.4,0,0
ETH.V,D,20150823,000000,1.4,1.4,1.31,1.35,0,0
ETH.V,D,20150824,000000,1.35,1.35,1.24,1.24,0,0
ETH.V,D,20150825,000000,1.24,1.28,1.22,1.27,0,0
ETH.V,D,20150826,000000,1.27,1.27,1.08,1.18,0,0
ETH.V,D,20150827,000000,1.18,1.19,1.14,1.14,0,0
ETH.V,D,20150828,000000,1.14,1.3,1.14,1.3,0,0
ETH.V,D,20150829,000000,1.3,1.3,1.15,1.18,0,0
ETH.V,D,20150830,000000,1.18,1.35,1.17,1.32,0,0
ETH.V,D,20150831,000000,1.32,1.32,0.9,1.31,0,0
ETH.V,D,20150901,000000,1.31,1.38,1.31,1.36,0,0
ETH.V,D,20150902,000000,1.36,1.37,1.14,1.14,0,0
ETH.V,D,20150903,000000,1.14,1.33,1.14,1.23,0,0
ETH.V,D,20150904,000000,1.28,1.4,1.28,1.35,0,0
ETH.V,D,20150905,000000,1.23,1.37,1.23,1.37,0,0
ETH.V,D,20150906,000000,1.37,1.39,1.34,1.34,0,0
ETH.V,D,20150907,000000,1.34,1.34,1.28,1.28,0,0
ETH.V,D,20150908,000000,1.28,1.28,1.26,1.26,0,0
ETH.V,D,20150909,000000,1.26,1.26,1.21,1.21,0,0
ETH.V,D,20150910,000000,1.21,1.21,1.12,1.19,0,0
ETH.V,D,20150911,000000,1.19,1.19,0.9242,0.9242,0,0
ETH.V,D,20150912,000000,0.9242,1.15,0.9242,1.15,0,0
ETH.V,D,20150913,000000,1.15,1.15,0.8837,0.8856,0,0
ETH.V,D,20150914,000000,0.8856,0.9622,0.885,0.955,0,0
ETH.V,D,20150915,000000,0.955,1,0.804,0.95,0,0
ETH.V,D,20150916,000000,0.95,0.9563,0.9363,0.9363,0,0
ETH.V,D,20150917,000000,0.9363,0.9363,0.8238,0.875,0,0
ETH.V,D,20150918,000000,0.875,0.88,0.8523,0.8523,0,0
ETH.V,D,20150919,000000,0.8523,0.89,0.8013,0.89,0,0
ETH.V,D,20150920,000000,0.89,0.89,0.88,0.8871,0,0
ETH.V,D,20150921,000000,0.8871,0.95,0.8871,0.9412,0,0
ETH.V,D,20150922,000000,0.9412,0.9412,0.8059,0.8059,0,0
ETH.V,D,20150923,000000,0.8059,0.91,0.8059,0.91,0,0
ETH.V,D,20150924,000000,0.91,0.91,0.8,0.8,0,0
ETH.V,D,20150925,000000,0.8,0.8,0.6823,0.6823,0,0
ETH.V,D,20150926,000000,0.6823,0.7703,0.6805,0.7703,0,0
ETH.V,D,20150927,000000,0.7703,0.7703,0.7007,0.7008,0,0
ETH.V,D,20150928,000000,0.7008,0.7047,0.6,0.6,0,0
ETH.V,D,20150929,000000,0.6,0.6816,0.5,0.6816,0,0
ETH.V,D,20150930,000000,0.6816,0.74,0.5046,0.7137,0,0
ETH.V,D,20151001,000000,0.7137,0.7137,0.6545,0.6548,0,0
ETH.V,D,20151002,000000,0.6548,0.666,0.6548,0.6647,0,0
ETH.V,D,20151003,000000,0.6647,0.6796,0.6647,0.6796,0,0
ETH.V,D,20151004,000000,0.6796,0.6796,0.6095,0.6095,0,0
ETH.V,D,20151005,000000,0.6095,0.6095,0.6078,0.6078,0,0
ETH.V,D,20151006,000000,0.6078,0.6511,0.6078,0.6511,0,0
ETH.V,D,20151007,000000,0.6511,0.6511,0.6,0.6,0,0
ETH.V,D,20151008,000000,0.6,0.64,0.6,0.62,0,0
ETH.V,D,20151009,000000,0.62,0.6352,0.5701,0.6352,0,0
ETH.V,D,20151010,000000,0.75,0.75,0.6351,0.6351,0,0
ETH.V,D,20151011,000000,0.6352,0.6352,0.5993,0.5993,0,0
ETH.V,D,20151012,000000,0.5993,0.639,0.5993,0.63,0,0
ETH.V,D,20151013,000000,0.63,0.65,0.6016,0.6017,0,0
ETH.V,D,20151014,000000,0.6017,0.6017,0.5,0.5,0,0
ETH.V,D,20151015,000000,0.5,0.56,0.4832,0.56,0,0
ETH.V,D,20151016,000000,0.56,0.5622,0.525,0.525,0,0
ETH.V,D,20151017,000000,0.525,0.54,0.52,0.523,0,0
ETH.V,D,20151018,000000,0.523,0.523,0.505,0.505,0,0
ETH.V,D,20151019,000000,0.505,0.505,0.4821,0.5,0,0
ETH.V,D,20151020,000000,0.5,0.5,0.44,0.44,0,0
ETH.V,D,20151021,000000,0.44,0.4719,0.42,0.42,0,0
ETH.V,D,20151022,000000,0.42,0.609,0.411,0.609,0,0
ETH.V,D,20151023,000000,0.609,0.609,0.5,0.5649,0,0
ETH.V,D,20151024,000000,0.5649,0.5649,0.51,0.5561,0,0
ETH.V,D,20151025,000000,0.5561,0.67,0.5561,0.62,0,0
ETH.V,D,20151026,000000,0.62,0.706,0.62,0.706,0,0
ETH.V,D,20151027,000000,0.706,0.901,0.7012,0.83,0,0
ETH.V,D,20151028,000000,0.83,1.01,0.82,0.99,0,0
ETH.V,D,20151029,000000,0.99,1.2,0.9717,1.12,0,0
ETH.V,D,20151030,000000,1.12,1.34,1.12,1.14,0,0
